Название,Цена,Описание,Расположение,Создано,Ссылка
Видеокарта geforce gtx 1060 3 gb,10000,"Видеокарта полностью исправна, нет ни нареканий не замечаний. Пользовался только лично, использовал для игр. Показал себя достойно для своего сегмента. Покупал с рук у знакомого, поэтому документация и чек отсутствует. Готова к проверкам. Торг уместен.",Ломоносовская,1 день назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_geforce_gtx_1060_3_gb_2482776452
Видеокарта gtx 1060 6gb palit однокулерная,10000,"Продаю видеокарту, полностью исправна. Готова к продаже, свежая термопаста, почищена от пыли. Проходит все тесты без каких-либо проблем. Работает тихо, температуры не высокие. Проверка на месте, играми и программами.",Приморская,1 день назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_6gb_palit_odnokulernaya_2437032985
Msi gtx 1060 3g gaming x,10000,"Работает отлично, не греется, за год увидел, что максимальная температура была 65гр. Не майнил, в игре «rust» на средних настройках 70-90 фпс, проц Ryzen 2600(просто указал) покупал год назад за 18.000, продаю, так как больше не играю. Без коробки. На видео слабо видно фпс, если будет интересно, то пришлю фотки.",Чернышевская,3 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1060_3g_gaming_x_2487164376
Видеокарта gtx 1060 3gb msi,10000,"Карта покупалась только для игр, не майнилась, все тесты можно провести у меня на дому. Покупалась в ситилинке, есть чек. Пломба на месте, артефактов нет.",Колпино,3 дня назад,https://www.avito.ru/sankt-peterburg_kolpino/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_msi_2445382637
Evga Gtx 1060 3gb,10000,"Состояние идеал, любые проверки. В майнинге не использовалась. Стояла в офисе.",Проспект Большевиков,4 дня назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/evga_gtx_1060_3gb_2476292132
Видеокарта gtx 1060 3gb,10000,"Видеокарта Gtx1060 3 GB. В хорошем состоянии. Почищена, заменена термопаста. Играл в CS: GO. Видеокарта не нагружалась. Продаю по причине не надобности.",Петроградская,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_3gb_2366469294
Gigabyte GTX 980 4gb,10000,"Флагман 9й линейки, чуть мощнее чем gtx 1060. Карта не моя личная, иногда продаю оставшиеся после смены на более мощные в фирме по видеопроизводству. Все карты перед продажей продуваются от пыли и тестируются. Масса положительных отзывов в профиле. На месте проверить возможности нет, дам день на проверку или привезу для проверки по району. Скрины моих тестов в объявлении.",Проспект Большевиков,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_980_4gb_2445479436
Видеокарта gtx 1060 G1 3gb,10000,"Продается видеокарта Gigabyte 1060 G1 3Gb в наиотличнейшем состоянии! Дефектов и проблем ни каких нет! Не майнил и не разгонял. Любые проверки на месте. Коробку не сохранил. Фотку показал взятую из интернета, т. К. Видяшка стоит в ПК и открывать ПК чтобы сфоткать, не охото. Для заинтересованных, естественно сфоткаю.",Проспект Большевиков,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_gtx_1060_g1_3gb_2486703311
Asus dual gtx 1060 3gb,10000,Продаю свою видеокарту. Не вскрывалась. Пломба на месте. Любые проверки. Забрать можно в сестрорецке.,Комендантский проспект,1 неделю назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/asus_dual_gtx_1060_3gb_2438938650
Видеокарта nvidia geforce gtx 1060 3gb,10000,"Видеокарта Nvidia geforce gtx 1060 3gb. Работает отлично. Упаковки нет. Продаю, потому что купили 3060.",Комендантский проспект,2 недели назад,https://www.avito.ru/sankt-peterburg/tovary_dlya_kompyutera/videokarta_nvidia_geforce_gtx_1060_3gb_2481017871
